1534706974.31317806243896484375, [64, 56]
1534706974.3141200542449951171875, [64, 160]
1534706974.3153879642486572265625, [65, 16]
1534706974.3166110515594482421875, [64, 128]
1534706974.317821025848388671875, [64, 216]
1534706974.3186810016632080078125, [65, 0]
1534706974.3195819854736328125, [65, 88]
1534706974.320744037628173828125, [64, 120]
1534706974.3219039440155029296875, [63, 184]
1534706974.322772979736328125, [64, 80]
1534706974.323688983917236328125, [64, 224]
1534706974.32489490509033203125, [64, 144]
1534706974.3260939121246337890625, [64, 96]
1534706974.32738590240478515625, [64, 128]
1534706974.3285849094390869140625, [63, 208]
1534706974.3297789096832275390625, [64, 128]
1534706974.3310039043426513671875, [64, 120]
1534706974.3322050571441650390625, [64, 208]
1534706974.3329269886016845703125, [64, 88]
1534706974.3333599567413330078125, [64, 144]
1534706974.334259033203125, [64, 24]
1534706974.335547924041748046875, [64, 40]
1534706974.336750030517578125, [64, 192]
1534706974.337953090667724609375, [64, 136]
1534706974.339231967926025390625, [64, 16]
1534706974.340487957000732421875, [64, 32]
1534706974.3412010669708251953125, [64, 104]
1534706974.3421039581298828125, [64, 96]
1534706974.351358890533447265625, [64, 40]
1534706974.352078914642333984375, [64, 32]
1534706974.35262203216552734375, [64, 112]
1534706974.353127002716064453125, [64, 80]
1534706974.3536169528961181640625, [63, 248]
1534706974.3540999889373779296875, [64, 40]
1534706974.354876041412353515625, [64, 24]
1534706974.35546398162841796875, [63, 232]
1534706974.3559920787811279296875, [64, 152]
1534706974.3586809635162353515625, [64, 120]
1534706974.359510898590087890625, [64, 232]
1534706974.36009502410888671875, [64, 192]
1534706974.3606460094451904296875, [64, 160]
1534706974.3611490726470947265625, [64, 104]
1534706974.366880893707275390625, [64, 144]
1534706974.3676700592041015625, [64, 72]
1534706974.3683021068572998046875, [64, 160]
1534706974.3688640594482421875, [64, 184]
1534706974.3693950176239013671875, [64, 104]
1534706974.369904994964599609375, [63, 208]
1534706974.370606899261474609375, [64, 56]
1534706974.37119197845458984375, [64, 80]
1534706974.37172698974609375, [64, 8]
1534706974.37496089935302734375, [64, 208]
1534706974.3757560253143310546875, [64, 136]
1534706974.3763349056243896484375, [64, 48]
1534706974.376843929290771484375, [64, 136]
1534706974.3773310184478759765625, [64, 144]
1534706974.3778209686279296875, [64, 56]
1534706974.3782989978790283203125, [64, 120]
1534706974.37901592254638671875, [64, 24]
1534706974.3820359706878662109375, [64, 144]
1534706974.3830730915069580078125, [64, 152]
1534706974.38368511199951171875, [64, 144]
1534706974.3842079639434814453125, [64, 120]
1534706974.38471698760986328125, [64, 152]
1534706974.385302066802978515625, [64, 80]
1534706974.3863461017608642578125, [63, 248]
1534706974.38759899139404296875, [64, 152]
1534706974.388309001922607421875, [64, 0]
1534706974.3887379169464111328125, [64, 192]
1534706974.3891680240631103515625, [64, 216]
1534706974.3896119594573974609375, [64, 0]
1534706974.3900420665740966796875, [64, 16]
1534706974.3906180858612060546875, [64, 144]
1534706974.3910770416259765625, [65, 8]
1534706974.391518115997314453125, [63, 144]
1534706974.391953945159912109375, [64, 72]
1534706974.392386913299560546875, [64, 176]
1534706974.392817974090576171875, [63, 232]
1534706974.393250942230224609375, [64, 88]
1534706974.39369297027587890625, [64, 248]
1534706974.3941209316253662109375, [64, 80]
1534706974.3946940898895263671875, [64, 32]
1534706974.3951790332794189453125, [64, 184]
1534706974.3956348896026611328125, [65, 16]
1534706974.3961269855499267578125, [64, 192]
1534706974.3965740203857421875, [64, 136]
1534706974.3970119953155517578125, [64, 152]
1534706974.3974430561065673828125, [64, 64]
1534706974.397869110107421875, [65, 8]
1534706974.398293018341064453125, [64, 200]
1534706974.3988730907440185546875, [64, 88]
1534706974.399322986602783203125, [64, 176]
1534706974.3997631072998046875, [64, 40]
1534706974.40019893646240234375, [64, 88]
1534706974.4006168842315673828125, [64, 112]
1534706974.4013659954071044921875, [65, 88]
1534706974.401874065399169921875, [64, 120]
1534706974.4023349285125732421875, [64, 152]
1534706974.4029810428619384765625, [64, 120]
1534706974.40347003936767578125, [64, 136]
1534706974.403932094573974609375, [65, 48]
1534706974.404376983642578125, [64, 104]
1534706974.40482997894287109375, [64, 144]
1534706974.4052760601043701171875, [64, 104]
1534706974.405725002288818359375, [64, 112]
1534706974.4062149524688720703125, [64, 200]
1534706974.406733989715576171875, [64, 96]
1534706974.407196044921875, [64, 0]
1534706974.407638072967529296875, [64, 88]
1534706974.408071994781494140625, [64, 32]
1534706974.4085099697113037109375, [64, 40]
1534706974.4091129302978515625, [64, 104]
1534706974.4095699787139892578125, [64, 112]
1534706974.410027027130126953125, [63, 176]
1534706974.4104959964752197265625, [64, 40]
1534706974.4109470844268798828125, [64, 8]
1534706974.4113929271697998046875, [64, 160]
1534706974.411839008331298828125, [64, 184]
1534706974.4122750759124755859375, [64, 64]
1534706974.4127171039581298828125, [64, 128]
1534706974.4131538867950439453125, [64, 64]
1534706974.41359996795654296875, [64, 176]
1534706974.414040088653564453125, [64, 192]
1534706974.4144999980926513671875, [64, 120]
1534706974.4149429798126220703125, [64, 160]
1534706974.4153931140899658203125, [64, 176]
1534706974.415853977203369140625, [64, 104]
1534706974.4163150787353515625, [64, 56]
1534706974.4167630672454833984375, [64, 16]
1534706974.4172089099884033203125, [64, 160]
1534706974.41765308380126953125, [64, 16]
1534706974.4180929660797119140625, [64, 80]
1534706974.4185459613800048828125, [64, 144]
1534706974.4189889430999755859375, [64, 80]
1534706974.419435977935791015625, [64, 152]
1534706974.41987895965576171875, [64, 96]
1534706974.420319080352783203125, [64, 216]
1534706974.4207661151885986328125, [64, 216]
1534706974.421207904815673828125, [63, 224]
1534706974.4216480255126953125, [64, 208]
1534706974.422091007232666015625, [64, 200]
1534706974.422542095184326171875, [64, 192]
1534706974.422974109649658203125, [64, 184]
1534706974.4234230518341064453125, [64, 96]
1534706974.4238679409027099609375, [64, 80]
1534706974.424315929412841796875, [64, 184]
1534706974.42475795745849609375, [65, 0]
1534706974.4252231121063232421875, [64, 0]
1534706974.42568111419677734375, [64, 176]
1534706974.426126003265380859375, [65, 0]
1534706974.4266159534454345703125, [64, 72]
1534706974.4270770549774169921875, [64, 56]
1534706974.4275319576263427734375, [64, 16]
1534706974.42796993255615234375, [64, 56]
1534706974.4284150600433349609375, [64, 56]
1534706974.4288499355316162109375, [65, 32]
1534706974.429297924041748046875, [64, 248]
1534706974.4297358989715576171875, [64, 8]
1534706974.43017292022705078125, [64, 8]
1534706974.430634021759033203125, [64, 48]
1534706974.4310801029205322265625, [64, 16]
1534706974.4315359592437744140625, [63, 200]
1534706974.4319820404052734375, [64, 104]
1534706974.4324290752410888671875, [64, 32]
1534706974.43286800384521484375, [64, 128]
1534706974.433311939239501953125, [64, 224]
1534706974.43375396728515625, [65, 16]
1534706974.434194087982177734375, [64, 120]
1534706974.4347031116485595703125, [64, 216]
1534706974.435165882110595703125, [64, 112]
1534706974.4356288909912109375, [64, 128]
1534706974.43608188629150390625, [63, 208]
1534706974.436522006988525390625, [64, 80]
