Sensor,Timestamp,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z
Left hand,0.000000,0.977294921875,0.07470703125,0.213623046875,0.595092773438,-4.79125976562,3.69262695312
Left forearm,0.001642,0.065185546875,-0.940673828125,0.193603515625,-5.93566894531,5.08117675781,5.79071044922
Left biceps,0.004054,-0.0634765625,-1.01977539062,0.144287109375,-0.0381469726562,11.4593505859,-5.76782226562
Right hand,0.008102,0.90478515625,-0.44970703125,0.298583984375,14.6179199219,-11.8026733398,4.150390625
Right forearm,0.011512,-0.196044921875,-0.8515625,0.293212890625,-7.12585449219,0.953674316406,12.5350952148
Right biceps,0.016094,-0.36279296875,-0.923583984375,0.172607421875,-6.74438476562,-8.96453857422,-6.75201416016
Left shoulder,0.017671,-0.10009765625,0.916259765625,0.392822265625,-4.66918945312,9.11712646484,-3.31115722656
Right shoulder,0.019328,-0.60302734375,0.7421875,0.35791015625,9.58251953125,-6.103515625,-0.885009765625
Back pelvis,0.023963,0.93603515625,-0.007568359375,0.4267578125,9.62829589844,14.7323608398,-0.587463378906
Front pelvis,0.031545,1.06103515625,0.14794921875,-0.003662109375,-25.0701904297,7.45391845703,7.69805908203
Belly button,0.040188,0.379150390625,0.95263671875,0.07177734375,2.33459472656,-4.14276123047,-1.86157226562
Sternum,0.044188,0.61328125,0.022705078125,0.73095703125,2.685546875,-16.6244506836,6.32476806641
Head,0.047515,0.9443359375,-0.098876953125,0.343017578125,0.923156738281,5.84411621094,3.63159179688
Left thigh,0.052101,-0.173828125,-0.952392578125,-0.14306640625,-2.04467773438,3.73840332031,4.98199462891
Left tibia,0.056073,0.391357421875,-0.699462890625,0.03955078125,-30.4336547852,62.7746582031,0.320434570312
Left foot,0.059992,0.34326171875,-0.053955078125,0.773193359375,11.2609863281,30.0521850586,-35.2783203125
Right thigh,0.068001,0.530517578125,-0.83056640625,0.0009765625,-1.51062011719,-6.40106201172,1.82342529297
Right tibia,0.069500,0.501953125,-0.961669921875,0.193359375,8.80432128906,-29.6173095703,-42.854309082
Right foot,0.076129,0.018310546875,-0.406005859375,0.922119140625,-14.8162841797,22.1633911133,8.38470458984
Left hand,0.077692,0.97802734375,0.068359375,0.23486328125,10.0402832031,-1.39617919922,4.46319580078
Left forearm,0.087404,0.0732421875,-0.934814453125,0.21435546875,-11.3220214844,2.05230712891,9.42993164062
Left biceps,0.089086,0.011962890625,-0.96923828125,0.289306640625,10.7269287109,-13.0996704102,-3.56292724609
Right hand,0.090560,0.8603515625,-0.413330078125,0.344970703125,10.9481811523,11.848449707,14.1296386719
Right forearm,0.097232,-0.196533203125,-0.917236328125,0.307373046875,-18.6386108398,-28.4194946289,15.8157348633
Right biceps,0.103378,-0.38623046875,-0.899658203125,0.222412109375,-4.24957275391,-4.76837158203,-2.04467773438
Left shoulder,0.108165,-0.072021484375,0.939208984375,0.350341796875,-10.7192993164,7.23266601562,-4.77600097656
Right shoulder,0.109740,-0.588623046875,0.7490234375,0.356201171875,9.33837890625,-8.65173339844,0.350952148438
Back pelvis,0.112039,0.986328125,0.0361328125,0.361572265625,15.6860351562,7.06481933594,6.13403320312
Front pelvis,0.115929,1.00122070312,0.234619140625,-0.04248046875,-13.0157470703,2.05230712891,-1.37329101562
Belly button,0.119302,0.42626953125,0.895751953125,0.037109375,10.25390625,-7.96508789062,1.28936767578
Sternum,0.120898,0.654296875,0.03076171875,0.779296875,1.11389160156,-12.3291015625,0.434875488281
Head,0.122333,0.90283203125,-0.058837890625,0.338134765625,-0.595092773438,5.95855712891,2.05230712891
Left thigh,0.128086,-0.161865234375,-0.958740234375,-0.130126953125,-1.48010253906,3.7841796875,6.35528564453
Left tibia,0.131538,0.40283203125,-0.947021484375,-0.097900390625,3.08990478516,20.1797485352,-80.8334350586
Left foot,0.133053,0.715087890625,0.19091796875,1.06518554688,25.9780883789,21.2478637695,-59.1430664062
Right thigh,0.135975,0.54052734375,-0.804931640625,-0.0126953125,3.46374511719,-13.6260986328,-7.53784179688
Right tibia,0.139932,0.22705078125,-0.985107421875,0.105224609375,6.35528564453,12.9089355469,-64.7583007812
Right foot,0.143152,-0.011962890625,-0.395263671875,0.930908203125,-22.2702026367,-7.13348388672,-11.3983154297
Left hand,0.145707,1.03955078125,0.07666015625,0.288330078125,23.8265991211,12.9623413086,3.37219238281
Left forearm,0.147831,0.074951171875,-0.940185546875,0.25048828125,-15.8081054688,4.89044189453,9.35363769531
Left biceps,0.150376,0.1552734375,-0.83251953125,0.254638671875,3.70025634766,21.1715698242,-19.8593139648
